jaccard_similarity,page_a,page_b
1.0,/en-in/terms-and-conditions,/terms-and-conditions
1.0,/en-in/security,/security
1.0,/en-in/resources/prohibited-shipping-items,/resources/prohibited-shipping-items
1.0,/en-ca/terms-and-conditions,/terms-and-conditions
1.0,/en-ca/terms-and-conditions,/en-in/terms-and-conditions
1.0,/en-ca/security,/security
1.0,/en-ca/security,/en-in/security
1.0,/en-ca/privacy-policy,/en-in/privacy-policy
1.0,/en-ca/contact-us,/en-in/contact-us
1.0,/cookie-policy,/en-in/cookie-policy
1.0,/contact-us,/en-in/contact-us
1.0,/contact-us,/en-ca/contact-us
0.97,/en-ca/resources/cft-calculator,/resources/cft-calculator
0.97,/en-ca/contact-us/request-a-call-back,/en-in/contact-us/request-a-call-back
0.96,/en-in/resources,/resources
0.96,/en-ca/resources/relocation-process,/resources/relocation-process
0.96,/en-ca/resources/prohibited-shipping-items,/resources/prohibited-shipping-items
0.96,/en-ca/resources/prohibited-shipping-items,/en-in/resources/prohibited-shipping-items
0.95,/en-ca/resources/volumetric-weight,/resources/volumetric-weight
0.92,/en-in/your-trusted-partner-in-employee-relocation,/your-trusted-partner-in-employee-relocation
0.92,/en-ca/resources,/en-in/resources
0.9,/en-in/faq/faqs-about-food-courier-service-from-india-to-usa,/faq/faqs-about-food-courier-service-from-india-to-usa
0.89,/en-ca/resources,/resources
0.88,/en-in/resources/volumetric-weight,/resources/volumetric-weight
0.86,/en-in/faq,/faq
0.83,/en-ca/resources/volumetric-weight,/en-in/resources/volumetric-weight
0.75,/contact-us/contact-support,/en-ca/contact-us/request-a-call-back
0.74,/contact-us/contact-support,/en-in/contact-us/request-a-call-back
0.7,/en-in/contact-us/request-a-call-back,/faq
0.69,/en-ca/worldwide-destinations,/en-ca/worldwide-moving
0.69,/about-us/accreditations,/en-ca/about-us/accreditations
0.68,/en-in/contact-us/request-a-call-back,/en-in/faq
0.67,/en-ca/contact-us/request-a-call-back,/faq
0.67,/en-ca/contact-us/contact-support,/en-ca/worldwide-destinations
0.66,/en-ca/contact-us/request-a-call-back,/en-in/faq
0.66,/contact-us/contact-support,/faq
0.65,/en-ca/about-us/trusted-reviews,/en-ca/contact-us/contact-support
0.65,/contact-us/contact-support,/en-in/faq
0.64,/faq,/worldwide-moving
0.64,/en-in/privacy-policy,/privacy-policy
0.64,/en-ca/privacy-policy,/privacy-policy
0.64,/en-ca/contact-us/contact-support,/en-ca/worldwide-moving
0.64,/about-us/trusted-reviews,/en-ca/about-us/trusted-reviews
0.63,/en-in/faq,/worldwide-moving
0.63,/en-ca/about-us/trusted-reviews,/en-ca/worldwide-destinations
0.63,/contact-us/contact-support,/en-ca/contact-us/contact-support
0.62,/en-in/about-us/trusted-reviews,/en-in/contact-us/contact-support
0.62,/en-ca/worldwide-moving,/worldwide-moving
0.61,/en-in/contact-us/contact-support,/en-in/worldwide-moving
0.61,/about-us/trusted-reviews,/faq
0.6,/en-in/resources/cft-calculator,/en-in/worldwide-moving
0.6,/en-in/contact-us/contact-support,/en-in/resources/cft-calculator
0.6,/en-ca/about-us/trusted-reviews,/en-ca/worldwide-moving
0.6,/about-us/trusted-reviews,/en-in/faq
0.59,/en-in/resources,/faq
0.59,/en-ca/contact-us/request-a-call-back,/worldwide-moving
0.58,/faq,/resources
0.58,/en-in/faq,/en-in/resources
0.58,/en-ca/resources,/faq
0.58,/about-us/trusted-reviews,/contact-us/contact-support
0.57,/en-in/faq,/resources
0.57,/en-in/contact-us/request-a-call-back,/worldwide-moving
0.57,/en-in/about-us/trusted-reviews,/en-in/worldwide-moving
0.57,/en-ca/resources,/en-in/faq
0.56,/en-in/about-us/trusted-reviews,/en-in/resources/cft-calculator
0.56,/en-ca/about-us/accreditations,/en-ca/contact-us/contact-support
0.56,/contact-us/contact-support,/worldwide-moving
0.55,/faq,/resources/cft-calculator
0.55,/en-ca/about-us/accreditations,/en-ca/worldwide-destinations
0.55,/about-us/trusted-reviews,/en-in/contact-us/request-a-call-back
0.54,/en-in/faq,/resources/cft-calculator
0.54,/en-ca/contact-us/request-a-call-back,/en-ca/resources
0.54,/about-us/trusted-reviews,/en-ca/contact-us/request-a-call-back
0.53,/en-in/contact-us/request-a-call-back,/en-in/resources
0.53,/en-in/about-us/accreditations,/en-in/contact-us/contact-support
0.53,/en-ca/resources/cft-calculator,/faq
0.53,/en-ca/resources,/en-in/contact-us/request-a-call-back
0.53,/en-ca/about-us/accreditations,/en-ca/about-us/trusted-reviews
0.52,/en-in/resources/relocation-process,/resources/relocation-process
0.52,/en-in/contact-us/request-a-call-back,/resources
0.52,/en-ca/resources/cft-calculator,/en-in/faq
0.52,/en-ca/resources,/worldwide-moving
0.52,/en-ca/about-us/accreditations,/en-ca/worldwide-moving
0.52,/contact-us/contact-support,/en-ca/resources
0.52,/about-us/trusted-reviews,/worldwide-moving
0.52,/about-us/accreditations,/faq
0.51,/en-in/about-us/accreditations,/en-in/about-us/trusted-reviews
0.51,/en-ca/services,/en-ca/worldwide-destinations
0.51,/en-ca/contact-us/request-a-call-back,/en-in/resources
0.51,/about-us/accreditations,/en-in/faq
0.5,/en-in/contact-us/request-a-call-back,/resources/cft-calculator
0.5,/en-ca/contact-us/request-a-call-back,/resources
